sample_id,ERBB2_copy_number,CEP17_copy_number,ERBB2_CEP17_ratio,ERBB2_minus_ploidy,Purity,Ploidy,Tumour Average Depth,Normal Average Depth
CPCT02020203T,2,2,1.0,-1.6970999999999998,0.85,3.6971,45.39,33.53
CPCT02180049T,4,4,1.0,0.5770000000000001,0.61,3.423,49.86,35.18
WIDE01010074T,25,2,12.5,22.0631,0.51,2.9369,50.83,38.26
CPCT02460004T,9,1,9.0,6.9487000000000005,0.54,2.0513,48.39,41.37
CPCT02190024T,16,2,8.0,12.8407,0.49,3.1593,48.89,28.39
CPCT02290048T,4,4,1.0,0.0971999999999999,0.42,3.9028,48.42,33.23
CPCT02210028T,3,1,3.0,0.965,0.63,2.035,48.41,39.57
CPCT02030478T,68,3,22.66666666666667,64.2872,0.39,3.7128,48.72,30.68
CPCT02040055T,4,4,1.0,-1.2512999999999996,0.25,5.2513,51.26,41.53
CPCT02020223TII,4,5,0.8,0.5493999999999999,0.48,3.4506,50.02,31.32
CPCT02110069T,4,2,2.0,-0.0340999999999995,0.37,4.0341,48.25,32.18
CPCT02010726T,2,2,1.0,-0.0106000000000001,0.62,2.0106,45.71,35.65
DO52550,3,1,3.0,0.5373999999999999,0.23,2.4626,47.59,37.62
WIDE01010372T,3,2,1.5,-1.1466000000000005,0.72,4.1466,50.59,42.23
CPCT02100027T,12,1,12.0,9.6532,0.35,2.3468,50.53,40.16
CPCT02030218TII,4,5,0.8,0.0411000000000001,0.45,3.9589,51.15,39.47
CPCT02010691T,3,2,1.5,1.4249,0.43,1.5751,48.37,42.35
TCGA-A8-A09IT,135,4,33.75,131.1142,0.6,3.8858,49.31,32.55
CPCT02020345TII,3,3,1.0,-1.1623,0.61,4.1623,49.24,52.89
CPCT02050285T,2,3,0.6666666666666666,0.0533999999999998,0.41,1.9466,44.53,48.43
CPCT02340112T,2,2,1.0,-0.2471999999999998,0.55,2.2472,49.33,34.79
CPCT02110004T,4,2,2.0,0.7090999999999998,0.35,3.2909,51.84,38.33
WIDE01010185T,3,2,1.5,0.0971000000000002,0.35,2.9029,49.7,44.5
DO1018,5,1,5.0,1.0233,0.53,3.9767,42.28,44.54
CPCT02060059T,1,1,1.0,-0.5499,0.5,1.5499,50.97,37.21
DO217844,4,4,1.0,-0.1224999999999996,0.23,4.1225,42.38,34.11
CPCT02020692T,6,2,3.0,2.4672,0.97,3.5328,49.23,30.6
CPCT02010886T,1,2,0.5,-0.6834,0.92,1.6834,48.52,38.28
DO218573,4,4,1.0,1.0345,0.47,2.9655,44.75,35.46
CPCT02040325T,4,4,1.0,0.7488000000000001,0.51,3.2512,50.49,30.71
CPCT02080312T,3,3,1.0,0.7256,0.82,2.2744,47.14,37.94
DO1002,3,2,1.5,1.0296,0.77,1.9704,44.94,34.88
WIDE01010231T,2,2,1.0,-1.4150999999999998,0.38,3.4151,49.71,39.51
TCGA-C8-A12LT,14,2,7.0,10.5732,0.49,3.4268,54.41,32.67
CPCT02210017T,4,3,1.3333333333333333,0.5712999999999999,0.45,3.4287,47.82,31.18
CPCT02020341T,1,2,0.5,-1.1002,0.52,2.1002,51.44,34.77
CPCT02080095T,1,2,0.5,-1.2212999999999998,0.58,2.2213,50.82,45.02
CPCT02310011T,48,8,6.0,45.6688,0.66,2.3312,49.71,38.6
CPCT02230016T,2,2,1.0,-0.0600999999999998,0.56,2.0601,48.21,38.25
CPCT02080184T,4,6,0.6666666666666666,0.6326,0.26,3.3674,48.54,35.82
CPCT02010427T,2,2,1.0,0.0001999999999999,0.47,1.9998,51.21,33.68
CPCT02390040T,2,2,1.0,0.0210999999999998,0.61,1.9789,50.46,36.4
DO218065,4,2,2.0,-0.0300000000000002,0.43,4.03,31.0,31.63
CPCT02330066T,95,4,23.75,91.1345,0.43,3.8655,49.64,44.59
CPCT02010915T,1,1,1.0,-0.9458,0.83,1.9458,48.52,36.0
CPCT02010320T,2,2,1.0,-1.0142000000000002,0.59,3.0142,51.83,49.45
CPCT02030305T,2,2,1.0,-0.0828000000000002,0.83,2.0828,51.57,40.64
CPCT02030271T,198,2,99.0,193.6703,0.57,4.3297,50.59,49.31
CPCT02370003T,2,2,1.0,-0.9207999999999998,0.7,2.9208,49.52,31.86
CPCT02120047T,2,8,0.25,-1.5560999999999998,0.22,3.5561,49.07,37.42
CPCT02360022T,2,2,1.0,-0.1198000000000001,0.97,2.1198,47.17,35.37
CPCT02120099T,2,2,1.0,0.2645,0.37,1.7355,48.65,34.92
CPCT02010523T,4,2,2.0,0.4293999999999998,0.62,3.5706,51.08,34.06
TCGA-E2-A1LGT,3,7,0.4285714285714285,-0.2075,0.76,3.2075,50.98,31.29
CPCT02030428T,2,2,1.0,-0.0865999999999997,0.58,2.0866,47.27,32.69
CPCT02080076T,2,2,1.0,-0.1756999999999999,0.61,2.1757,49.88,31.63
